Date,MMM,American Express,Boeing,Caterpillar,Coca Cola,IBM,Intel,J&J,JPMorgan,McDonalds,Merck & Co.,Microsoft,Procter & Gamble,The Home Depot,Walmart,Walt Disney,DJIA
4/1/1999,20.22,25.81,21.7,12.8,16.39,49.38,18.35,26.47,27.39,26.31,31.84,29.28,27.03,26.2,30.97,24.09,9832.51
4/5/1999,20.29,26.76,21.94,13.38,16.27,51.31,19.36,26.68,27.18,26.74,31.15,30,27.69,26.84,31.68,24.09,10007.33
4/6/1999,20,26.29,21.98,13.19,16.09,51.05,19.8,26.5,27.35,26.56,31.1,29.72,27.63,26.49,31.78,23.42,9963.49
4/7/1999,19.82,26.97,22.3,13.23,15.85,52.03,20.06,26.68,29.12,26.96,31.94,29.48,27.66,27.05,32.39,25.14,10085.31
4/8/1999,19.93,27.25,22.14,13.26,16.37,52.17,19.9,27.35,30.33,27.03,32.51,29.88,27.66,28.38,33.96,26.05,10197.7
4/9/1999,19.79,27.38,22.42,13.29,16.34,51.98,19.86,27.56,29.53,26.42,33.16,29.78,27.85,28.65,34.13,26.38,10173.84
4/12/1999,19.74,28.88,22.26,14.01,16.64,51.17,18.6,28.01,29.98,26.45,33.86,29.38,28.26,28.46,34.84,27.1,10339.51
4/13/1999,20.26,29.54,22.14,14.93,17.03,50.22,18.37,27.73,30.15,26.81,33.11,28.47,28.24,27.53,34.73,26.57,10395.01
4/14/1999,20.92,29.12,24.3,16.55,17.06,50.04,17.31,26.63,29.81,26.06,31.27,27.13,27.21,27.02,32.76,26.76,10411.66
4/15/1999,22.03,28.52,26.66,16.86,17.28,49.59,17.74,25.92,29.53,25.52,30.82,28.08,26.49,26.81,32.47,26.05,10462.72
4/16/1999,22.22,27.7,25.34,17.4,17.67,47.53,17.38,26.19,29.7,25.63,30.92,27.37,26.96,26.94,31.56,25.52,10493.89
4/19/1999,23.42,26.9,25.3,16.84,17.47,46.52,16.85,25.38,29.33,24.8,29.13,25.59,25.98,24.95,29.81,24.8,10440.53
4/20/1999,22.69,27.2,25.1,16.55,17.55,47.36,17.17,27.07,28.64,25.45,29.98,26.26,26.31,25.75,31.72,25.28,10448.55
4/21/1999,22.97,28.77,25.82,16.82,18.17,47.95,17.74,28.33,28.79,26.17,30.22,25.91,27.24,26.55,32.39,25.57,10581.42
4/22/1999,22.22,29.26,25.78,16.39,17.89,54.26,18.67,28.82,29.59,25.77,31.02,26.84,25.92,26.47,33.26,25.57,10727.18
4/23/1999,22.46,28.88,25.9,16.6,17.89,55.73,18.75,28.61,29.38,25.45,30.17,27.17,24.92,26.57,33.84,26.38,10689.67
4/26/1999,22.76,28.65,25.3,16.99,18.05,58.55,19.56,28.17,28.51,25.05,29.48,27.8,26.11,25.88,33.84,26.76,10718.59
4/27/1999,22.46,29.6,25.18,17.42,18.68,59.14,18.9,28.66,29.53,24.94,29.3,26.54,25.76,26.15,33.71,24.85,10831.71
4/28/1999,23.49,28.38,25.9,17.69,18.27,57.19,18.58,27.98,28.86,24.51,28.18,25.95,25.44,26.25,32.68,24.85,10845.45
4/29/1999,23.8,28.88,25.82,17.95,18.24,57.14,18.46,27.75,28.94,24.15,28.03,25.93,25.75,25.27,31.14,23.23,10878.38
4/30/1999,24.74,27.88,25.98,17.64,18.31,58.36,18.58,27.42,28.47,24.44,28.03,25.69,25.83,25.43,30.56,24.28,10789.04
5/3/1999,26.1,28.45,27.49,17.86,18.56,59.21,19.17,27.49,28.56,24.36,28.16,25.24,25.95,26.09,30.64,23.9,11014.69
5/4/1999,26.11,27.12,27.57,17.93,18.47,59.14,18.73,26.71,28.38,23.54,28.23,24.66,25.26,25.22,29.23,23.51,10886.11
5/5/1999,25.68,27.6,28.21,17.85,18.96,59.18,19.44,26.43,27.67,23.43,29,25,25.11,25.03,29.94,22.99,10955.41
5/6/1999,25.61,27.94,28.73,17.92,18.59,58.44,18.13,27.45,26.77,23.54,29.63,24.62,25.37,24.26,28.48,22.84,10946.82
5/7/1999,25.82,28.73,29.25,17.32,18.22,60.68,18.51,27.03,27.05,23.07,29.68,24.98,25.04,24.39,29.73,22.94,11031.59
5/10/1999,26.18,27.94,28.17,16.92,18.04,61.06,18.42,26.26,27.26,22.78,28.73,25.18,24.85,23.99,30.02,22.75,11007.25
5/11/1999,26.41,27.26,27.77,17.32,18,61.73,18.93,26.1,27.61,24.11,28.51,25.24,25.23,25.22,31.43,22.51,11026.15
5/12/1999,26.1,26.88,27.3,16.65,17.87,62.98,18.99,26.63,28.41,24.08,28.51,25.43,25.59,25.11,30.93,22.32,11000.37
5/13/1999,25.28,26.61,27.46,16.61,17.68,68.71,18.24,26.78,28.99,23.57,29.08,25,25.33,25.08,31.22,22.46,11107.19
5/14/1999,25.11,25.81,27.58,16.72,17.55,66.82,17.62,26.19,27.28,23.28,28.38,24.29,25.42,24.74,30.81,22.46,10913.32
5/17/1999,24.81,25.94,27.26,16.75,18.05,66.33,18.06,25.88,27.13,22.89,28.66,25,25.92,24.87,30.35,22.18,10853.47
5/18/1999,24.48,26.53,28.02,16.08,18.49,66.61,17.9,25.49,27.18,23.46,28.01,24.86,25.85,25.16,30.85,22.61,10836.95
5/19/1999,25,26.64,28.47,15.89,18.41,65.88,18.13,26.33,27.67,23.32,28.08,25.06,26.16,24.6,30.35,22.89,10887.39
5/20/1999,25.02,26.32,28.63,16.15,18.27,65.04,17.52,26.79,27.67,23.1,28.78,24.78,26.62,24.68,29.56,22.8,10866.74
5/21/1999,24.88,25.65,28.83,16.34,18.29,64.34,17.31,26.09,27.24,22.99,28.41,24.51,26.78,24.74,28.73,22.56,10829.28
5/24/1999,25.13,24.92,28.47,16.22,17.97,62.49,16.99,25.52,26.18,22.35,27.83,24.41,25.87,24.42,28.44,22.84,10654.67
5/25/1999,25.07,24.42,27.62,16.08,18.02,61.78,16.06,24.77,25.47,22.06,27.19,24.09,26.04,23.67,28.15,22.84,10531.09
5/26/1999,24.85,25.5,26.5,15.84,18.42,65.99,15.7,25.38,26.01,22.2,26.81,24.8,26.37,24.5,28.52,22.94,10702.16
5/27/1999,24.06,24.93,26.5,15.18,18.32,64.8,16.14,25.45,25.11,21.9,26.29,24.76,25.88,24.18,27.32,22.65,10466.93
5/28/1999,23.99,25.82,26.98,15.04,18.42,64.8,16.42,26.12,24.98,22.23,26.94,25.49,25.71,24.07,28.32,22.27,10559.74
6/1/1999,24.67,25.21,27.34,16.1,18.59,62.56,15.4,26.12,24.89,22.3,27.14,24.8,26.33,23.75,28.86,22.03,10596.26
6/2/1999,24.99,25.26,27.06,16,18.46,63.54,15.78,25.86,24.52,22.09,26.7,24.78,25.95,24.13,29.48,22.27,10577.89
6/3/1999,24.97,25.94,27.3,16.56,18.51,63.09,15.34,26.42,24.72,22.81,27.33,24.13,25.75,24.95,30.23,22.18,10663.69
6/4/1999,24.55,26.72,28.19,17.21,18.76,64.8,16.16,27.27,25.64,23.67,28.25,25.14,26.61,25.75,30.56,23.42,10799.84
6/7/1999,25.37,27.3,28.06,17.33,18.22,67.31,16.23,27.06,26.49,23.1,27.73,25.35,26.87,25.59,30.39,23.61,10909.38
6/8/1999,25.02,27.52,28.1,17.03,18.22,65.15,15.7,26.16,25.84,23.53,27.45,25.08,26.11,24.86,29.48,22.65,10765.64
6/9/1999,24.41,26.69,27.1,16.85,18.02,65.36,16.14,25.89,25.47,23.67,27.95,26.01,25.4,25.29,29.31,22.51,10690.29
6/10/1999,24.36,26.26,27.46,16.96,17.78,64.38,16.82,25.24,25.24,24.18,27.15,25.24,24.58,25.07,28.65,22.46,10621.27
6/11/1999,24.04,25.92,27.34,16.29,17.37,63.86,16.54,25.63,25.28,24.03,26.63,24.68,23.75,25.53,28.36,22.08,10490.51
6/14/1999,24.97,25.22,26.82,16.43,17.47,64.52,16.52,25.56,25.45,23.82,26.5,24.51,23.22,24.75,28.65,22.18,10563.33
6/15/1999,25.13,25.4,27.3,16.01,17.19,64.73,16.92,25.58,25.93,24.03,27.05,24.55,23.82,24.3,28.23,22.37,10594.99
